date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-15,Vermont,32470.0,74000.0,28355.0,0.66,5.2,4100.0,4.54,11.86,2899.0,2238.0,3587.0,0.439
2021-01-19,Vermont,40581.0,74000.0,34427.0,0.98,6.5,6114.0,5.52,11.86,2027.75,2118.0,3394.0,0.548
2021-01-20,Vermont,40814.0,75950.0,34607.0,0.99,6.54,6167.0,5.55,12.17,233.0,1606.0,2574.0,0.537
2021-01-21,Vermont,42835.0,78875.0,36233.0,1.05,6.86,6545.0,5.81,12.64,2021.0,1895.0,3037.0,0.543
2021-01-22,Vermont,46447.0,84825.0,38432.0,1.27,7.44,7954.0,6.16,13.59,3612.0,1997.0,3200.0,0.548
2021-01-23,Vermont,49426.0,90000.0,40484.0,1.42,7.92,8877.0,6.49,14.42,2979.0,2133.0,3418.0,0.549
2021-01-24,Vermont,51872.0,90000.0,41950.0,1.58,8.31,9853.0,6.72,14.42,2446.0,2192.0,3513.0,0.576
2021-01-25,Vermont,53624.0,90000.0,43356.0,1.63,8.59,10195.0,6.95,14.42,1752.0,2153.0,3450.0,0.596
2021-01-26,Vermont,54416.0,92925.0,43994.0,1.66,8.72,10349.0,7.05,14.89,792.0,1976.0,3167.0,0.586
2021-01-27,Vermont,55377.0,96825.0,44498.0,1.73,8.87,10806.0,7.13,15.52,961.0,2080.0,3333.0,0.572
2021-01-28,Vermont,58871.0,98775.0,46376.0,1.99,9.43,12418.0,7.43,15.83,3494.0,2291.0,3672.0,0.596
2021-01-29,Vermont,61737.0,99750.0,47485.0,2.27,9.89,14168.0,7.61,15.99,2866.0,2184.0,3500.0,0.619
2021-01-30,Vermont,63777.0,99750.0,48473.0,2.44,10.22,15213.0,7.77,15.99,2040.0,2050.0,3285.0,0.639
2021-01-31,Vermont,67180.0,99750.0,50571.0,2.64,10.77,16491.0,8.1,15.99,3403.0,2187.0,3505.0,0.673
2021-02-01,Vermont,72428.0,99750.0,53967.0,2.94,11.61,18338.0,8.65,15.99,5248.0,2686.0,4305.0,0.726
2021-02-02,Vermont,74021.0,109825.0,54994.0,3.03,11.86,18903.0,8.81,17.6,1593.0,2801.0,4489.0,0.674
2021-02-03,Vermont,74718.0,113625.0,55357.0,3.08,11.97,19237.0,8.87,18.21,697.0,2763.0,4428.0,0.658
2021-02-04,Vermont,77198.0,116075.0,56221.0,3.34,12.37,20843.0,9.01,18.6,2480.0,2618.0,4196.0,0.665
2021-02-05,Vermont,80054.0,116075.0,57432.0,3.6,12.83,22483.0,9.2,18.6,2856.0,2617.0,4194.0,0.69
2021-02-06,Vermont,82992.0,116075.0,58637.0,3.88,13.3,24212.0,9.4,18.6,2938.0,2745.0,4399.0,0.715
2021-02-07,Vermont,87180.0,116075.0,60863.0,4.19,13.97,26162.0,9.75,18.6,4188.0,2857.0,4579.0,0.751
2021-02-08,Vermont,90328.0,116075.0,63024.0,4.35,14.48,27144.0,10.1,18.6,3148.0,2557.0,4098.0,0.778
2021-02-09,Vermont,93037.0,129875.0,64864.0,4.49,14.91,28010.0,10.4,20.81,2709.0,2717.0,4354.0,0.716
2021-02-10,Vermont,93862.0,134075.0,65577.0,4.51,15.04,28122.0,10.51,21.49,825.0,2735.0,4383.0,0.7
2021-02-11,Vermont,96908.0,137925.0,67024.0,4.76,15.53,29713.0,10.74,22.1,3046.0,2816.0,4513.0,0.703
2021-02-12,Vermont,100036.0,138025.0,68654.0,5.0,16.03,31208.0,11.0,22.12,3128.0,2855.0,4575.0,0.725
2021-02-13,Vermont,102716.0,138025.0,70351.0,5.16,16.46,32186.0,11.27,22.12,2680.0,2818.0,4516.0,0.744
2021-02-14,Vermont,106787.0,138025.0,73105.0,5.37,17.11,33495.0,11.72,22.12,4071.0,2801.0,4489.0,0.774
2021-02-16,Vermont,114986.0,147425.0,78022.0,5.89,18.43,36773.0,12.5,23.63,4099.5,3136.0,5026.0,0.78
2021-02-17,Vermont,115964.0,150375.0,78816.0,5.92,18.58,36957.0,12.63,24.1,978.0,3157.0,5059.0,0.771
2021-02-18,Vermont,118184.0,151350.0,79606.0,6.15,18.94,38381.0,12.76,24.26,2220.0,3039.0,4870.0,0.781
2021-02-19,Vermont,127619.0,159650.0,86590.0,6.54,20.45,40829.0,13.88,25.59,9435.0,3940.0,6314.0,0.799
2021-02-20,Vermont,132112.0,159650.0,88826.0,6.9,21.17,43084.0,14.24,25.59,4493.0,4199.0,6729.0,0.828
2021-02-21,Vermont,137144.0,163550.0,91923.0,7.21,21.98,45017.0,14.73,26.21,5032.0,4337.0,6950.0,0.839
2021-02-22,Vermont,141436.0,163550.0,92323.0,7.33,22.67,45725.0,14.8,26.21,4292.0,4364.0,6994.0,0.865
2021-02-23,Vermont,144085.0,178620.0,94054.0,7.48,23.09,46663.0,15.07,28.63,2649.0,4157.0,6662.0,0.807
2021-02-24,Vermont,144970.0,194760.0,94866.0,7.51,23.23,46877.0,15.2,31.21,885.0,4144.0,6641.0,0.744
2021-02-25,Vermont,147828.0,205810.0,96318.0,7.72,23.69,48194.0,15.44,32.98,2858.0,4235.0,6787.0,0.718
2021-02-26,Vermont,151538.0,206910.0,98746.0,7.91,24.29,49372.0,15.82,33.16,3710.0,3417.0,5476.0,0.732
2021-02-27,Vermont,156929.0,206910.0,101529.0,8.27,25.15,51631.0,16.27,33.16,5391.0,3545.0,5681.0,0.758
2021-02-28,Vermont,162558.0,206910.0,104583.0,8.68,26.05,54139.0,16.76,33.16,5629.0,3631.0,5819.0,0.786
2021-03-01,Vermont,168050.0,206910.0,107238.0,9.12,26.93,56934.0,17.19,33.16,5492.0,3802.0,6093.0,0.812
2021-03-02,Vermont,171557.0,227350.0,109213.0,9.37,27.49,58448.0,17.5,36.43,3507.0,3925.0,6290.0,0.755
2021-03-03,Vermont,173179.0,230850.0,110313.0,9.45,27.75,58977.0,17.68,37.0,1622.0,4030.0,6458.0,0.75
2021-03-04,Vermont,175767.0,246000.0,111890.0,9.61,28.17,59938.0,17.93,39.42,2588.0,3991.0,6396.0,0.714
2021-03-05,Vermont,179580.0,253300.0,114893.0,9.73,28.78,60708.0,18.41,40.59,3813.0,4006.0,6420.0,0.709
2021-03-06,Vermont,184327.0,261100.0,118292.0,9.93,29.54,61961.0,18.96,41.84,4747.0,3914.0,6273.0,0.706
